id,title,organization,prefecture,category,label_category,salary2,monthly_salary_yen,work_day,neccessary_capacity,support_system,other,work_location,people_number,application_period,detail_url
65526,【 年収349万円 ＋ 副業可 】島根県邑南町で農家を目指してみませんか？,島根県 邑南町,島根県,農林水産・産業,"協力隊,おためし",20万円以上,291000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり","学生歓迎,未経験者歓迎,副業/兼業可能",島根県邑智郡邑南町,"（野菜苗コース）　２人
（ぶどうコース）　２人",2026-04-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/65526
69563,南アルプスの麓、山梨県北杜市で「ものづくりや現場のスキル」を『山』のために使ってみませんか？,山梨県 北杜市,山梨県,観光,協力隊,20万円以上,,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",,,,2026-06-19 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69563
69073,北海道島牧村　地域おこし協力隊員募集①（R8:若干名　Ｒ9:5名　観光まちづくり（体験観光コンテンツ構築及び起業家養成）),北海道 島牧村,北海道,観光,"協力隊,おためし",20万円以上,291610,不定期または応相談,あり,"活動中の備品･消耗品に関する支援あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",北海道島牧村,"令和8年度　若干名(令和8年10月1日委嘱開始）
令和9年度　5名（令和9年4月1日委嘱開始）",2026-04-24 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69073
69076,北海道島牧村　地域おこし協力隊員募集②（R9:5名　地域活性化（事業構想大学院大学との共同事業）,北海道 島牧村,北海道,観光,"協力隊,おためし",20万円以上,245100,週5日以上,あり,"活動中の備品･消耗品に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",未経験者歓迎,"北海道島牧村
道の駅「よってけ！島牧」を拠点とします。",令和９年度　５名(委嘱予定日：令和9年4月1日）,2026-04-24 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69076
63503,【協力隊募集】自称「ぶっ飛んでる人」必見！あなたの「やってみたい」にチャレンジしませんか？,鹿児島県 鹿屋市,鹿児島県,"農林水産・産業,環境,医療・福祉,観光,教育,情報通信,地域づくり,スポーツ,空き家,その他",協力隊,20万円以上,291000,週3～4日,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり","学生歓迎,未経験者歓迎,副業/兼業可能",鹿屋市内全域（県外や他市町村での研修等に出席してもらう場合があります。）,２名（家族を伴っての着任、友人と２人での着任、パートナーと一緒に着任等も可）,2026-06-05 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/63503
66855,瀬戸内海の水産物を香川から全国へ,香川県,香川県,農林水産・産業,協力隊,20万円以上,200000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり",未経験者歓迎,"■勤務地：香川県漁業協同組合連合会（香川県高松市北浜町８-２５）

■活動地：香川県内",1名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/66855
69575,"【8/14〆切】地域を""しごと""でおもしろく。｜若者が「帰りたい」と思う石巻を一緒につくる採用・広報コーディネーター募集",宮城県 石巻市,宮城県,"教育,地域づくり,その他","協力隊,インターン",10万円～20万円未満,199500,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり","未経験者歓迎,副業/兼業可能","合同会社まちひとワークス　事務所
〒986-0827　宮城県石巻市千石町8-11",１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69575
69596,【8/14〆切】【石巻発】誰もが輝ける農業モデルをつくる｜有機農業推進コーディネーター兼次世代リーダー候補募集,宮城県 石巻市,宮城県,"農林水産・産業,地域づくり,その他","協力隊,インターン",10万円～20万円未満,199500,週5日以上,,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり","65歳以上歓迎,未経験者歓迎,副業/兼業可能",石巻市北上地区を中心に石巻市全域,１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69596
69608,【8/14〆切】コミュニティを耕す。｜子ども×農園を活かすコミュニティファーマー募集,宮城県 石巻市,宮城県,"農林水産・産業,地域づくり,その他","協力隊,インターン",10万円～20万円未満,199500,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり","未経験者歓迎,副業/兼業可能",石巻市・釜／大街道地区,１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69608
69737,【新潟県十日町市】清津峡を起点に、地域全体の活用へ…地域資源を活用した観光の仕掛人募集！,新潟県 十日町市,新潟県,"観光,地域づくり",協力隊,20万円以上,220000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり",,"新潟県十日町市中里地域を中心に活動。
※株式会社なかさとを拠点とします。",1名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69737
